zipcode,NTAName,income,count
10453,Central Bronx ,28504.672897196266,38520
10457,Central Bronx ,28873.08039747064,33210
10460,Central Bronx ,30807.543520309482,25850
10458,Bronx Park and Fordham ,31116.48383371824,34640
10467,Bronx Park and Fordham ,36853.543133802814,45440
10468,Bronx Park and Fordham ,32218.844984802432,36190
10451,High Bridge and Morrisania ,34673.68421052631,23750
10452,High Bridge and Morrisania ,29619.712581344902,36880
10456,High Bridge and Morrisania ,28554.84974346445,40930
10454,Hunts Point and Mott Haven ,29534.774436090225,15960
10455,Hunts Point and Mott Haven ,30282.0796460177,18080
10459,Hunts Point and Mott Haven ,30680.240629338266,21610
10474,Hunts Point and Mott Haven ,30193.83697813121,5030
10463,Kingsbridge and Riverdale ,60070.76159906624,34270
10471,Kingsbridge and Riverdale ,84752.74725274727,10010
10466,Northeast Bronx ,41828.66184448463,33180
10469,Northeast Bronx ,47773.03233679073,32780
10470,Northeast Bronx ,54263.19176319176,7770
10475,Northeast Bronx ,51090.02169197396,23050
10461,Southeast Bronx ,53371.475275847966,24470
10462,Southeast Bronx ,44542.561158262615,40060
10464,Southeast Bronx ,77236.23853211009,2180
10465,Southeast Bronx ,63118.374558303876,19810
10472,Southeast Bronx ,32493.093922651933,28960
10473,Southeast Bronx ,41659.35415935416,28490
11212,Central Brooklyn ,33890.52874743326,38960
11213,Central Brooklyn ,41622.47265495525,30170
11216,Central Brooklyn ,52624.28619415519,29770
11233,Central Brooklyn ,42066.2100456621,32850
11238,Central Brooklyn ,76108.74368686871,31680
11209,Southwest Brooklyn ,68094.78741991847,34340
11214,Southwest Brooklyn ,44426.616614192295,41290
11228,Southwest Brooklyn ,56931.190356604726,19910
11204,Borough Park ,44656.601539372416,33780
11218,Borough Park ,57079.945799457986,33210
11219,Borough Park ,36930.64182194617,33810
11230,Borough Park ,53283.282590644885,36130
11234,Canarsie and Flatlands ,62069.86747268077,43010
11236,Canarsie and Flatlands ,46886.617100371746,48420
11239,Canarsie and Flatlands ,42587.014725568944,7470
11223,Southern Brooklyn ,48053.555355535544,33330
11224,Southern Brooklyn ,42815.73754316723,20270
11229,Southern Brooklyn ,55976.351351351346,37000
11235,Southern Brooklyn ,53210.05544354839,39680
11201,Northwest Brooklyn ,105868.10730253354,33550
11205,Northwest Brooklyn ,60935.8774662513,19260
11215,Northwest Brooklyn ,95795.59178743961,33120
