zipcode,income,count
10001,90123.8591916558,15340
10002,49565.50011823126,42290
10003,105379.96545768567,28950
10004,125204.08163265306,2450
10005,116744.08783783784,5920
10006,112753.03643724696,2470
10007,133241.75824175825,3640
10009,70702.04955643928,32690
10010,108373.71721778791,17540
10011,111220.60284862538,30190
10012,102591.70653907496,12540
10013,95970.93791281374,15140
10014,114122.59615384616,18720
10016,101822.27995110024,32720
10017,114979.42386831276,12150
10018,98334.55344070279,6830
10019,100135.92233009709,25750
10021,116841.54175588865,23350
10022,119197.97330696984,20230
10023,114465.84302325582,34400
10024,111268.00916830386,30540
10025,85930.6887532694,45880
10026,58063.41861731083,18370
10027,54169.66858789625,27760
10028,109901.13547376664,25540
10029,43013.66967305524,35480
10030,42123.28767123288,13870
10031,42116.621530128636,29540
10032,40403.22580645161,29450
10033,45657.169117647056,27200
10034,46001.99900049975,20010
10035,45282.10116731517,15420
10036,89264.00634249471,18920
10037,51170.41198501873,10680
10038,85808.12101910828,12560
10039,41710.134128166916,13420
10040,45068.22386679001,21620
10044,81680.04587155963,4360
10065,113316.58291457286,15920
10069,133770.49180327868,3050
10075,112665.9678546471,14310
10128,105461.71171171172,33300
10162,134333.33333333334,750
10280,127387.97169811321,4240
10282,150732.21757322174,2390
10301,61639.34426229508,18300
10302,53348.48484848485,8250
10303,47304.907481898634,12430
10304,55267.06231454006,20220
10305,61131.61914460285,19640
10306,70501.46145414688,27370
10307,81268.88217522658,6620
10308,76123.1884057971,13800
10309,79936.14931237721,15270
10310,61002.15517241379,11600
10312,78127.12152070604,29460
10314,69501.09249817918,41190
10451,34673.68421052631,23750
10452,29619.712581344902,36880
10453,28504.672897196262,38520
10454,29534.774436090225,15960
10455,30282.0796460177,18080
10456,28554.849743464452,40930
10457,28873.08039747064,33210
10458,31116.483833718245,34640
10459,30680.24062933827,21610
10460,30807.54352030948,25850
10461,53371.47527584797,24470
10462,44542.56115826261,40060
10463,60070.76159906624,34270
10464,77236.23853211009,2180
10465,63118.37455830388,19810
10466,41828.66184448463,33180
10467,36853.543133802814,45440
10468,32218.844984802432,36190
10469,47773.032336790726,32780
10470,54263.19176319176,7770
10471,84752.74725274726,10010
10472,32493.093922651933,28960
10473,41659.35415935416,28490
10474,30193.836978131214,5030
10475,51090.02169197397,23050
10501,97014.92537313433,670
10502,110975.60975609756,2870
10504,119851.19047619047,4200
10505,85641.8918918919,740
10506,116771.58273381295,2780
10507,78206.31970260222,2690
10509,77716.84945164506,10030
10510,117064.3153526971,4820
10511,76388.88888888889,1170
10512,79246.03174603175,12600
10514,128159.59409594096,5420
10516,90476.19047619047,2730
10518,103000.0,750
10520,95438.66459627329,6440
10522,98260.66790352504,5390
10523,69134.22131147541,4880
10524,93689.90384615384,2080
10526,97000.0,1000
10527,107880.43478260869,460
10528,91143.21608040201,5970
10530,96502.7700831025,7220
10532,93339.76833976834,2590
10533,111400.0,3750
10535,67187.5,400
10536,110400.390625,5120
10537,67956.3492063492,1260
10538,120260.73619631902,8150
10541,82871.09375,12800
10543,87422.9188078109,9730
10546,113392.85714285714,700
10547,77594.3396226415,3710
10548,80303.0303030303,1650
10549,83515.15151515152,8250
10550,41165.55783009212,19540
10552,71632.88288288288,11100
10553,53093.43434343435,5940
10560,97649.08256880734,2180
10562,72605.72139303482,16080
10566,57284.100080710254,12390
10567,90748.730964467,9850
10570,104524.79338842975,6050
10573,66122.04724409449,19050
10576,115322.58064516129,2480
10577,113629.03225806452,1550
10578,83522.72727272728,440
10579,89502.28832951945,4370
10580,117204.79704797048,8130
10583,118611.40443505808,18940
10588,82894.73684210527,1330
10589,98940.21739130435,4600
10590,104009.43396226416,3180
10591,78366.58354114713,12030
10594,93225.19083969465,2620
10595,96086.62613981763,3290
10597,117892.1568627451,510
10598,94170.06109979634,14730
10601,78860.29411764706,6120
10603,74572.86432160804,9950
10604,76897.9057591623,5730
10605,96144.40078585461,10180
10606,64260.14319809069,8380
10607,81865.76354679803,4060
10701,49105.92643051771,29360
10703,56446.033210332105,10840
10704,65646.90420560748,17120
10705,47733.333333333336,18750
10706,105851.64835164836,4550
10707,93558.42911877394,5220
10708,101056.94564279552,11590
10709,94778.80658436214,4860
10710,75766.92524682652,14180
10801,61171.207264957266,18720
10803,107035.07340946166,6130
10804,117008.48656294201,7070
10805,64540.54054054054,9250
10901,81777.63272410793,11490
10913,93773.76425855514,2630
10916,86181.19266055046,2180
10917,76593.13725490196,1020
10918,78055.07745266781,5810
10919,70286.88524590163,610
10920,83826.75438596492,4560
10921,74204.54545454546,2200
10923,64209.183673469386,4900
10924,80651.49136577708,6370
10925,70866.53386454184,2510
10926,69196.42857142857,1960
10927,42263.84364820847,6140
10928,56581.85840707965,2260
10930,83058.08656036446,4390
10931,56127.450980392154,510
10940,55476.622329705766,24810
10941,62066.57420249653,7210
10950,67645.41387024609,17880
10952,60905.30903328051,12620
10954,77296.32587859425,12520
10956,94372.66500622666,16060
10958,71990.74074074074,1620
10960,77612.17948717948,7800
10962,88990.38461538461,2600
10963,67036.29032258065,1240
10964,99177.63157894737,760
10965,88778.0548628429,8020
10968,100800.0,1250
10969,67540.32258064517,620
10970,72733.64485981308,5350
10973,74115.0442477876,1130
10974,75550.31446540881,1590
10975,51562.5,160
10976,67877.90697674418,860
10977,48477.10547833197,24460
10980,77672.29254571027,7110
10983,92743.28859060403,2980
10984,82330.82706766918,1330
10985,65625.0,160
10986,82731.9587628866,970
10987,83489.30481283422,1870
10989,85009.96015936256,5020
10990,82364.04833836858,9930
10992,77838.54166666667,4800
10993,48982.558139534885,2580
10994,94712.79373368146,3830
10996,76724.13793103448,1160
10998,77890.625,1600
11001,80846.34492547906,14090
11003,56288.46942962659,24370
11004,69120.83936324168,6910
11005,111819.72789115646,1470
11010,75496.88230709275,12830
11020,95271.38157894737,3040
