BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area,address,lat,lon,zipcode,income,count
3,Brooklyn,47,BK88,Borough Park,39247.22783,54005019.05,"Borough Park, Brooklyn, NY, USA",40.6350319,-73.9921028,11219,36930.64182194617,33810
4,Queens,81,QN51,Murray Hill,33266.9048,52488277.85,"Murray Hill, Queens, NY, USA",40.7634996,-73.8073261,11358,55965.90909090909,19360
4,Queens,81,QN41,Fresh Meadows-Utopia,22106.431269999997,27774853.42,"Utopia Pkwy, Queens, NY, USA",40.7555136,-73.7926329,11358,55965.90909090909,19360
4,Queens,81,QN07,Hollis,20976.33557,22887772.87,"Hollis, Queens, NY, USA",40.7112203,-73.762495,11423,48130.68920676203,15380
1,Manhattan,61,MN06,Manhattanville,17040.68541,10647077.53,"Manhattanville, New York, NY 10027, USA",40.8169443,-73.9558333,10027,54169.66858789625,27760
1,Manhattan,61,MN09,Morningside Heights,20746.05846,20155865.45,"Morningside Heights, New York, NY, USA",40.8105443,-73.9620581,10027,54169.66858789625,27760
3,Brooklyn,47,BK25,Homecrest,27514.02292,29991967.28,"Homecrest, Brooklyn, NY, USA",40.6004787,-73.9565551,11229,55976.351351351346,37000
3,Brooklyn,47,BK44,Madison,26237.257859999998,27379162.08,"Madison, Brooklyn, NY 11229, USA",40.6068853,-73.947958,11229,55976.351351351346,37000
2,Bronx,5,BX59,Westchester-Unionport,26557.409330000002,23945209.78,"Westchester Ave, The Bronx, NY, USA",40.830898,-73.8697898,10472,32493.093922651933,28960
2,Bronx,5,BX55,Soundview-Bruckner,19756.55965,16253358.29,"Bruckner Blvd, The Bronx, NY, USA",40.823965,-73.8771406,10472,32493.093922651933,28960
2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,138249.4364,40134533.27,"870 Shore Rd, The Bronx, NY 10464, United States",40.8719846,-73.8096076,10464,77236.23853211009,2180
2,Bronx,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,91304.79487,88439964.04,"Throgs Neck, The Bronx, NY 10465, USA",40.818399,-73.8213213,10465,63118.374558303876,19810
4,Queens,81,QN08,St. Albans,45401.31695,77412748.11,"St. Albans, Queens, NY, USA",40.6895283,-73.7643688,11412,47644.64925755248,19530
4,Queens,81,QN25,Corona,23870.15403,20080371.46,#ERROR!,#ERROR!,#ERROR!,11368,32259.141331142157,48680
4,Queens,81,QN26,North Corona,18431.053190000002,18000833.56,"North Corona, Queens, NY, USA",40.7543725,-73.8669188,11368,32259.141331142157,48680
4,Queens,81,QN06,Jamaica Estates-Holliswood,35465.974930000004,42789975.85,"207-07 Union Tpke, Oakland Gardens, NY 11364, United States",40.733153,-73.7634614,11364,66058.49582172702,17950
4,Queens,81,QN46,Bayside-Bayside Hills,43020.787939999995,80798589.95,"Bayside Hills, Queens, NY, USA",40.7531092,-73.7661721,11364,66058.49582172702,17950
4,Queens,81,QN42,Oakland Gardens,42410.06772,51009679.34,"Oakland Gardens, Queens, NY 11364, USA",40.7408584,-73.758241,11364,66058.49582172702,17950
